posx,0.4000,0.6500,0.9000,1.1500,1.4000,1.6500,1.9000,2.1500,2.4000,2.6500,2.9000,3.1500,3.4000,3.6500,3.9000,4.1500,4.4000,4.6500,4.9000,5.1500,5.4000,5.6500,5.9000,6.1500,6.4000,6.6500,6.9000,7.1500,7.4000,7.6500,7.9000,8.1500,8.4000,8.6500,8.9000,9.1500,9.4000,9.6500,9.9000,10.1500,10.4000,10.6500,10.9000,11.1500,11.4000,11.6500,11.9000,12.1500,12.4000,12.6500,12.9000,13.1500,13.4000,13.6500,13.9000,14.1500,14.4000,14.6500,14.9000,14.9000
posy,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025,-0.1025,0.1025
posz,0.0000,0.1500,0.3000,0.4500,0.6000,0.7500,0.9000,1.0500,1.2000,1.3500,1.5000,1.6500,1.8000,1.9500,2.1000,2.2500,2.4000,2.5500,2.7000,2.8500,3.0000,3.1500,3.3000,3.4500,3.6000,3.7500,3.9000,4.0500,4.2000,4.3500,4.5000,4.6500,4.8000,4.9500,5.1000,5.2500,5.4000,5.5500,5.7000,5.8500,6.0000,6.1500,6.3000,6.4500,6.6000,6.7500,6.9000,7.0500,7.2000,7.3500,7.5000,7.6500,7.8000,7.9500,8.1000,8.2500,8.4000,8.5500,8.7000,8.7000
rotr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
rotp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
roty,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
tssp,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90
tdsp,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
foot,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050
comz,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
